0:0:0:0:0:0:0:1 - - [03/May/2013:12:58:05 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:58:05 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:58:05 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:58:35 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:58:35 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:58:35 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:58:35 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:59:06 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:59:06 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:59:06 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:59:06 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:59:36 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:12:59:36 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:59:36 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:12:59:36 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:00:06 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:00:06 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:00:06 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:00:06 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:00:36 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:00:36 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:00:36 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:00:36 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:01:06 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:01:06 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:01:06 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:01:06 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:01:37 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:01:37 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:01:37 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:01:37 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:02:07 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:02:07 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:02:07 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:02:07 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:02:37 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:02:37 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:02:37 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:02:37 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:03:07 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:03:07 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:03:07 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:03:07 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:03:37 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:03:37 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:03:37 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:03:37 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:04:08 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:04:08 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:04:08 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:04:08 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:04:38 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:04:38 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:04:38 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:04:38 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:05:08 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:05:08 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:05:08 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:05:08 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:05:38 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:05:38 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:05:38 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:05:38 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:06:08 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:06:08 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:06:08 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:06:08 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:06:39 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
0:0:0:0:0:0:0:1 - - [03/May/2013:13:06:39 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:06:39 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:06:39 -0300] "GET /Sistema2/imagens/kitt.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2013:13:07:11 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 200 2030
