0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:05 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:05 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:05 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:05 -0300] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:05 -0300] "GET /Sistema2/hora.jsp HTTP/1.1" 200 645
0:0:0:0:0:0:0:1 - - [20/Mar/2013:18:26:05 -0300] "GET /favicon.ico HTTP/1.1" 404 973
192.168.1.113 - - [20/Mar/2013:18:26:33 -0300] "GET /Sistema2/menu1.jsp HTTP/1.1" 200 21609
192.168.1.113 - - [20/Mar/2013:18:26:33 -0300] "GET /Sistema2/imagens/carta.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:33 -0300] "GET /Sistema2/imagens/dia.png HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:33 -0300] "GET /Sistema2/imagens/arrows.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:33 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:33 -0300] "GET /Sistema2/imagens/px1.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:33 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:33 -0300] "GET /Sistema2/imagens/menu.png HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:33 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 500 3674
192.168.1.113 - - [20/Mar/2013:18:26:34 -0300] "GET /Sistema2/menu1.jsp HTTP/1.1" 200 21609
192.168.1.113 - - [20/Mar/2013:18:26:34 -0300] "GET /Sistema2/imagens/dia.png HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:34 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:34 -0300] "GET /Sistema2/imagens/carta.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:34 -0300] "GET /Sistema2/imagens/arrows.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:34 -0300] "GET /Sistema2/imagens/px1.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:34 -0300] "GET /Sistema2/imagens/menu.png HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:34 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:34 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 500 3674
192.168.1.113 - - [20/Mar/2013:18:26:34 -0300] "GET /Sistema2/menu1.jsp HTTP/1.1" 200 21609
192.168.1.113 - - [20/Mar/2013:18:26:34 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:34 -0300] "GET /Sistema2/imagens/carta.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/dia.png HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/arrows.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/px1.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/menu.png HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/user.jsp HTTP/1.1" 500 3674
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/menu1.jsp HTTP/1.1" 200 21609
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/menu.css HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/carta.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/dia.png HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/arrows.gif HTTP/1.1" 304 -
192.168.1.113 - - [20/Mar/2013:18:26:35 -0300] "GET /Sistema2/imagens/logosys.jpg HTTP/1.1" 304 -
